Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time
13020,158.0,7.0,22.248210340256296,53.0,20.0,973.9535637149028,94.0,158.0,22.0,2.0,1/22/2021 12:00
13013,188.0,17.0,22.248210340256296,53.0,37.0,973.9535637149028,152.0,188.0,22.0,2.0,1/22/2021 12:00
13014,159.0,9.0,22.248210340256296,58.0,13.50085341365462,973.9535637149028,95.0,159.0,22.0,2.0,1/22/2021 12:00
13252,212.0,9.613503480278423,22.248210340256296,83.6,13.50085341365462,989.4,212.0,208.0,17.1,1.0,1/22/2021 13:00
8767,114.0,9.613503480278423,22.248210340256296,49.0,13.50085341365462,973.9535637149028,45.40338983050848,114.0,32.0,1.5,1/23/2021 15:00
8688,180.0,9.613503480278423,22.248210340256296,49.0,13.50085341365462,973.9535637149028,45.40338983050848,63.240613553113555,23.0,3.0,1/23/2021 14:00
8641,189.0,0.2,22.248210340256296,49.0,8.7,973.9535637149028,45.40338983050848,189.0,23.0,3.0,1/23/2021 13:00
13012,26.0,4.0,22.248210340256296,62.1,12.0,924.2,25.0,26.0,25.8,2.0,1/23/2021 15:00
12488,66.85816618911174,2.0,22.248210340256296,70.5,13.50085341365462,973.9535637149028,52.0,68.0,22.5,4.1,1/23/2021 15:00
13251,169.0,11.0,22.248210340256296,49.0,28.0,973.9535637149028,123.0,169.0,23.0,3.3,1/23/2021 13:00
12976,176.0,9.0,22.248210340256296,68.0,16.0,973.9535637149028,102.0,176.0,19.0,0.5,1/23/2021 11:00
13250,151.0,40.0,22.248210340256296,73.1,2.0,973.9535637149028,55.0,151.0,20.9,2.0,1/23/2021 15:00
5507,65.0,9.613503480278423,22.248210340256296,81.3,9.0,973.9535637149028,34.0,65.0,23.7,2.0,1/23/2021 15:00
11778,51.0,7.0,22.248210340256296,81.3,8.0,973.9535637149028,29.0,51.0,23.7,2.0,1/23/2021 14:00
12958,226.0,6.0,22.248210340256296,49.0,20.0,973.9535637149028,136.0,226.0,23.0,3.0,1/23/2021 15:00
12957,214.0,1.0,22.248210340256296,49.0,13.0,973.9535637149028,128.0,214.0,23.0,3.0,1/23/2021 15:00
13015,170.0,40.0,22.248210340256296,49.0,37.0,973.9535637149028,130.0,170.0,23.0,3.0,1/23/2021 13:00
13018,149.0,7.0,22.248210340256296,49.0,33.0,973.9535637149028,81.0,149.0,23.0,3.3,1/23/2021 13:00
13019,157.0,9.0,22.248210340256296,49.0,35.0,973.9535637149028,92.0,157.0,23.0,3.0,1/23/2021 13:00
