,Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Month
185,8641,97.0,0.1,25.0,62.0,6.0,973.9535637149028,45.40338983050848,97.0,33.0,4.6,5.0
186,12958,25.0,1.0,26.0,88.0,6.0,973.9535637149028,25.0,23.0,28.0,3.6,5.0
187,12957,23.0,7.0,27.0,94.0,2.0,973.9535637149028,23.0,23.0,28.0,3.6,5.0
188,8767,61.0,9.613503480278425,25.0,74.5,13.50085341365462,973.9535637149028,45.40338983050848,61.0,30.0,1.0,5.0
189,8688,45.0,9.613503480278425,27.0,84.0,13.50085341365462,973.9535637149028,45.40338983050848,45.0,30.0,4.6,5.0
190,12976,19.0,2.0,27.0,88.0,5.0,973.9535637149028,18.0,19.0,29.0,4.1,5.0
191,12958,24.0,1.0,27.0,88.0,7.0,973.9535637149028,24.0,23.0,29.0,3.0,5.0
192,8767,85.0,9.613503480278425,24.5,78.5,13.50085341365462,973.9535637149028,45.40338983050848,85.0,28.5,4.6,5.0
193,8688,55.0,9.613503480278425,25.0,56.0,13.50085341365462,973.9535637149028,45.40338983050848,55.0,35.0,4.1,5.0
194,11778,5.0,2.0,28.8,88.6,3.0,991.2,5.0,5.0,30.9,2.0,5.0
195,8767,53.0,9.613503480278425,21.0,45.0,13.50085341365462,973.9535637149028,45.40338983050848,53.0,34.5,1.8,5.0
196,8641,85.0,0.1,25.0,56.0,7.4,973.9535637149028,45.40338983050848,85.0,35.0,3.0,5.0
197,12976,57.0,2.0,27.0,70.0,9.0,973.9535637149028,57.0,53.0,33.0,3.0,5.0
198,11778,7.0,3.0,28.9,85.7,3.0,991.0,6.0,7.0,31.6,2.0,5.0
199,8767,57.0,9.613503480278425,25.5,97.0,13.50085341365462,973.9535637149028,45.40338983050848,57.0,26.0,1.8,5.0
200,8688,48.0,9.613503480278425,28.0,75.0,13.50085341365462,973.9535637149028,45.40338983050848,48.0,33.0,5.6,5.0
