,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
0,8767.0,102.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,9.613503480278421,22.248210340256296,83.0,13.500853413654617,973.9535637149028,45.40338983050848,102.0,27.0,3.6,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
1,8688.0,221.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,9.613503480278421,22.248210340256296,77.0,13.500853413654617,973.9535637149028,45.40338983050848,63.240613553113555,18.0,1.5,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
2,8641.0,281.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.3,22.248210340256296,77.0,8.7,973.9535637149028,45.40338983050848,281.0,18.0,1.5,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
3,13012.0,36.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.0,22.248210340256296,60.2,6.0,923.7,29.0,36.0,24.3,1.0,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
4,12488.0,68.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,2.0,22.248210340256296,88.0,13.500853413654617,973.9535637149028,52.0,68.0,21.0,1.0,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
5,13251.0,217.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.0,22.248210340256296,77.0,65.0,973.9535637149028,194.0,217.0,18.0,1.5,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
6,12976.0,195.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,8.0,22.248210340256296,77.0,17.0,973.9535637149028,119.0,195.0,18.0,1.5,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
7,13250.0,168.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,37.0,22.248210340256296,70.3,2.0,973.9535637149028,65.0,168.0,18.5,1.0,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
8,5507.0,48.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,9.613503480278421,22.248210340256296,95.7,11.0,973.9535637149028,25.0,48.0,17.0,2.0,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
9,11778.0,18.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.0,22.248210340256296,97.5,5.0,973.9535637149028,12.0,18.0,15.4,1.0,2021-01-21 05:00:00,+07:00,#NAME?,#NAME?
