,Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time
50,12488,,2.0,22.248210340256296,70.5,,,52.0,68.0,22.5,4.1,1/23/2021 15:00
51,13251,169.0,11.0,22.248210340256296,49.0,28.0,,123.0,169.0,23.0,3.3,1/23/2021 13:00
52,12976,176.0,9.0,22.248210340256296,68.0,16.0,,102.0,176.0,19.0,0.5,1/23/2021 11:00
53,13250,151.0,40.0,22.248210340256296,73.1,2.0,,55.0,151.0,20.9,2.0,1/23/2021 15:00
54,5507,65.0,,22.248210340256296,81.3,9.0,,34.0,65.0,23.7,2.0,1/23/2021 15:00
55,11778,51.0,7.0,22.248210340256296,81.3,8.0,,29.0,51.0,23.7,2.0,1/23/2021 14:00
56,12958,226.0,6.0,22.248210340256296,49.0,20.0,,136.0,226.0,23.0,3.0,1/23/2021 15:00
57,12957,214.0,1.0,22.248210340256296,49.0,13.0,,128.0,214.0,23.0,3.0,1/23/2021 15:00
58,13015,170.0,40.0,22.248210340256296,49.0,37.0,,130.0,170.0,23.0,3.0,1/23/2021 13:00
59,13018,149.0,7.0,22.248210340256296,49.0,33.0,,81.0,149.0,23.0,3.3,1/23/2021 13:00
60,13019,157.0,9.0,22.248210340256296,49.0,35.0,,92.0,157.0,23.0,3.0,1/23/2021 13:00
61,13026,160.0,10.0,22.248210340256296,49.0,23.0,,106.0,160.0,23.0,3.3,1/23/2021 13:00
62,1584,,3.0,22.248210340256296,68.5,1.0,,,,23.5,5.4,1/23/2021 15:00
63,1585,,2.0,22.248210340256296,69.0,2.0,,,,26.0,9.2,1/23/2021 15:00
64,13017,167.0,13.0,22.248210340256296,49.0,20.0,,123.0,167.0,23.0,3.0,1/23/2021 13:00
65,13020,151.0,12.0,22.248210340256296,49.0,23.0,,83.0,151.0,23.0,3.0,1/23/2021 13:00
66,13013,168.0,11.0,22.248210340256296,49.0,31.0,,121.0,168.0,23.0,3.3,1/23/2021 13:00
67,13014,155.0,11.0,22.248210340256296,49.0,,,89.0,155.0,23.0,3.0,1/23/2021 13:00
68,13252,340.0,,22.248210340256296,68.9,,985.9,340.0,194.0,18.0,1.0,1/23/2021 15:00
69,8767,80.0,,22.248210340256296,74.0,,,,80.0,27.0,4.1,1/25/2021 19:00
70,8688,161.0,,22.248210340256296,77.0,,,,,21.0,3.0,1/25/2021 19:00
71,8641,139.0,0.2,22.248210340256296,77.0,12.8,,,139.0,21.0,3.0,1/25/2021 19:00
72,13012,70.0,6.0,22.248210340256296,43.4,17.0,923.4,53.0,70.0,29.0,2.0,1/25/2021 19:00
73,12488,29.0,1.0,22.248210340256296,88.0,,,24.0,29.0,22.0,2.8,1/25/2021 15:00
74,13251,147.0,23.0,22.248210340256296,77.0,23.0,,95.0,147.0,21.0,3.8,1/25/2021 18:00
75,12976,176.0,9.0,22.248210340256296,68.0,16.0,,102.0,176.0,19.0,0.5,1/23/2021 11:00
76,13250,127.0,36.0,22.248210340256296,61.8,2.0,,56.0,127.0,24.5,1.0,1/25/2021 19:00
77,5507,32.0,,22.248210340256296,95.7,18.0,,17.0,32.0,19.8,1.0,1/25/2021 19:00
78,11778,11.0,5.0,22.248210340256296,95.7,29.0,,7.0,11.0,19.8,1.0,1/25/2021 18:00
79,12958,137.0,5.0,22.248210340256296,77.0,46.0,,91.0,137.0,21.0,3.0,1/25/2021 19:00
80,12957,116.0,4.0,22.248210340256296,77.0,17.0,,66.0,116.0,21.0,3.8,1/25/2021 19:00
81,13015,150.0,51.0,22.248210340256296,77.0,48.0,,102.0,150.0,21.0,3.8,1/25/2021 18:00
82,13018,106.0,5.0,22.248210340256296,77.0,11.0,,66.0,106.0,21.0,3.8,1/25/2021 18:00
83,13019,132.0,13.0,22.248210340256296,77.0,26.0,,77.0,132.0,21.0,3.8,1/25/2021 18:00
84,13026,145.0,6.0,22.248210340256296,77.0,15.0,,84.0,145.0,21.0,3.8,1/25/2021 18:00
85,1584,,9.0,22.248210340256296,78.0,1.0,,,,23.0,1.5,1/25/2021 19:00
86,1585,,2.0,22.248210340256296,73.0,3.0,,,,24.0,5.1,1/25/2021 19:00
87,13017,146.0,15.0,22.248210340256296,77.0,24.0,,102.0,146.0,21.0,3.0,1/25/2021 18:00
88,13020,108.0,9.0,22.248210340256296,77.0,10.0,,61.0,108.0,21.0,3.8,1/25/2021 18:00
89,13013,151.0,17.0,22.248210340256296,77.0,23.0,,104.0,151.0,21.0,3.8,1/25/2021 18:00
